NAME,DEPARTMENTS USING IT,WHAT IS IT FOR? ,AI FEATURES AND HIGHLIGHTS
ADOBE CREATIVE SUITE,Brand Design,,"Photoshop:
Content-Aware Fill: Automatically fills in selected areas with surrounding pixels to remove unwanted objects.
Select Subject and Object Selection Tool: Quickly selects prominent objects or people in an image with a single click.
Neural Filters: Applies complex edits like skin smoothing, style transfer, and colorization using machine learning algorithms.
Illustrator:
Auto Trace: Converts bitmap images into vector paths with precision.
Color Transfer: Transfers colors from one image to another to maintain a cohesive look across designs
Premiere Pro:
Auto Reframe: Automatically repositions video content for different aspect ratios, such as square, vertical, and cinematic formats.
Scene Edit Detection: Identifies and creates cuts at scene changes in edited video sequences.
After Effects:
Roto Brush: Simplifies the process of rotoscoping by automatically selecting and tracking objects in video frames.
Content-Aware Fill for Video: Removes unwanted objects from video footage and fills in the missing pixels.
Lightroom:
Auto Tone: Automatically adjusts exposure, contrast, and other settings to enhance photos.
Enhanced Details: Uses AI to improve the resolution and clarity of images, particularly those captured in RAW format.
"
ALGOLIA ,Ecomm,"A search and discovery API for building powerful, fast, and relevant search experiences - used on our websites",Wide range of features that are all part of enhancing the search results and experience.
ARCTIC WOLF,IT,A cybersecurity company that provides managed detection and response services to protect organizations from cyber threats,"Hybrid AI Model: Combines machine learning-driven anomaly detection with continuous human analysis to detect more attacks and produce fewer false positives than traditional methods
Automated Threat Detection: Uses AI to process and analyze vast amounts of security data, detecting advanced threats and anomalies in real-time 
Behavioral Analytics: Employs machine learning to understand and identify unusual behavior patterns that may indicate security incidents .
Predictive Insights: Uses AI to predict potential security threats and vulnerabilities, enabling proactive defense measures .
Continuous Learning: Machine learning algorithms continuously adapt and improve based on new data, enhancing the system's ability to respond to evolving threats"
ASANA,Marketing,"An application designed to help teams organize, track, and manage their work projects effectively","Asana incorporates several AI features to enhance work and project management, some examples like: Smart Status, Smart Answers, Smart Summaries, Smart Projects. These features aim to streamline workflows, enhance productivity, and ensure clarity and accountability in project management within Asana"
BYNDER,Brand Design,DAM - Design Asset Management system,"Bynder uses AI to enhance its digital asset management (DAM) capabilities. Some of the AI features include: Automated Tagging, Image and Text Recognition, Content Creation"
CHATGPT,Company-wide,AI language model that generates human-like text based on the prompts it receives,
DARK TRACE - Antigena,"Company-wide, IT",AI-powered autonomous response solution that detects and neutralizes cyber threats in real-time across various IT environments,"Self-Learning AI, Autonomous Response, Multi-Environment Protection"
DOCUSIGN,"HR, Legal",A digital transaction management platform that provides electronic signature technology and agreement cloud services,"Agreement Summarization, Smart Document Recognition, DocuSign Insight, Intelligent Agreement Management, AI for Contract Lifecycle Management"
ESKO ArtiosCAD,Brand Design,Packaging toolsets,"Automated Design Tools: AI-powered tools automatically generate design elements, such as die lines and structural components, optimizing for material usage and manufacturability.
3D Modeling and Visualization: AI helps in creating accurate 3D models and visualizations of packaging designs, allowing for better visualization and analysis of the final product.
Intelligent Layout Optimization: Uses AI to optimize the layout of packaging designs on sheets or rolls, minimizing waste and maximizing efficiency.
Predictive Analysis: Analyzes design elements to predict potential issues and suggests modifications to improve the structural integrity and functionality of the packaging.
Automated Preflighting: AI checks designs for errors and compliance with industry standards, ensuring that files are production-ready and reducing the risk of costly mistakes."
EXCEL (Microsoft) ,Company-wide,Data analysis and visualization.,"Ideas: Automatically analyzes data to provide insights, trends, and patterns.
Data Types: Recognizes and organizes information into relevant data types (e.g., stocks, geography).
Dynamic Arrays: Automatically fills data based on patterns detected in the initial entries.
Predictive Analytics: Uses historical data to forecast future trends.
Real-Time Collaboration: Leverages AI to streamline collaboration and prevent conflicts in data changes."
